"","PN02581BQ"
"","Balanza de pagos (millones US$) - Balanza en Cuenta Corriente"
"T180",92.5579378271482
"T280",-149.376610971523
"T380",-112.531585777186
"T480",-224.838066770372
"T181",-431.626465624212
"T281",-631.278350022799
"T381",-421.994819802104
"T481",-712.198702181972
"T182",-618.450779877805
"T282",-390.433214593273
"T382",-447.841868778126
"T482",-598.574834812766
"T183",-252.385506940547
"T283",-255.617775824195
"T383",-151.309869915958
"T483",-416.399359829872
"T184",-84.3839418944224
"T284",-59.8871224170559
"T384",1.52090896371137
"T484",-133.539197716592
"T185",-96.1632965690956
"T285",-63.6156047158388
"T385",42.819873422891
"T485",46.7679121290911
"T186",-127.164726134646
"T286",-370.421483309973
"T386",-423.789653714842
"T486",-551.733330902037
"T187",-555.175736816042
"T287",-291.921805586812
"T387",-535.951252665005
"T487",-683.773553578671
"T188",-514.11003168533
"T288",-439.272724248366
"T388",-516.908392864455
"T488",-359.930456682376
"T189",-105.189322119126
"T289",-141.92618346804
"T389",53.1552434005868
"T489",-406.107596139624
"T190",-582.818868044271
"T290",-419.544865060382
"T390",-238.328959629511
"T490",-218.691635128268
"T191",-247.8341457596
"T291",-406.516945278508
"T391",-423.374027051279
"T491",-440.968528760939
"T192",-453.497195874523
"T292",-445.521917526527
"T392",-311.119594009232
"T492",-705.925559476206
"T193",-424.071548255517
"T293",-636.404500085292
"T393",-663.463030915117
"T493",-740.353529157839
"T194",-493.484380991938
"T294",-680.154724710288
"T394",-540.78862131161
"T494",-986.837490886981
"T195",-990.200666166172
"T295",-1184.09125875152
"T395",-1129.78353306041
"T495",-1320.46448426787
"T196",-653.172968049109
"T296",-1046.37803418842
"T396",-907.828692216571
"T496",-1036.49941985766
"T197",-622.679819573082
"T297",-749.098959403231
"T397",-895.476939665457
"T497",-1100.78802396558
"T198",-1026.17248950274
"T298",-1041.05475477333
"T398",-732.515507873051
"T498",-536.226747996338
"T199",-311.110514146048
"T299",-383.412406815284
"T399",-241.533019823726
"T499",-443.858966488883
"T100",-380.488559373616
"T200",-514.607724544778
"T300",-117.97555195919
"T400",-532.756684543103
"T101",-549.812338841631
"T201",-295.047724145804
"T301",-179.338516766836
"T401",-178.612750105846
"T102",-333.005007311299
"T202",-292.501970546693
"T302",-180.417355223858
"T402",-287.780183693317
"T103",-492.385478594028
"T203",-158.346195008932
"T303",-169.263133620976
"T403",-109.880823160576
"T104",-65.1055553187805
"T204",-165.850435915454
"T304",223.526898415981
"T404",67.2382687923771
"T105",156.379038032775
"T205",118.004970882892
"T305",385.824355958961
"T405",498.729666943245
"T106",-174.77912908767
"T206",481.620517184313
"T306",1346.99502674033
"T406",1258.56037659266
"T107",12.8796628748586
"T207",288.013984933482
"T307",450.535075304065
"T407",769.094597556997
"T108",-997.939183597577
"T208",-1800.34439733992
"T308",-1465.61681921394
"T408",-1021.58691265131
"T109",-634.403247094857
"T209",-235.440436309563
"T309",-47.7895033215518
"T409",282.20983668627
"T110",-934.626185925406
"T210",-661.495138596561
"T310",-1234.19539398289
"T410",-738.842123351824
"T111",-1235.75370444869
"T211",-1369.70398690655
"T311",-38.4531986667105
"T411",-346.141134008774
"T112",-711.205758241923
"T212",-1668.48517815629
"T312",-2044.60808587966
"T412",-963.62328374504
"T113",-2662.82672970797
"T213",-2641.30187815126
"T313",-2906.19703784427
"T413",-1176.64292509729
"T114",-2647.83341966075
"T214",-3114.20399997077
"T314",-1807.35641375996
"T414",-1355.96169431044
"T115",-2987.09527561308
"T215",-2317.91866558852
"T315",-2538.26686957699
"T415",-1325.99516760132
"T116",-2424.85853871593
"T216",-1869.96368194471
"T316",-1243.65303360237
"T416",234.784997766295
"T117",-1113.91163255592
"T217",-249.044217961249
"T317",-460.940836707054
"T417",-895.806605788154
"T118",-1319.48318271396
	 
