"","PN02538AQ"
"","Producto bruto interno por tipo de gasto (millones S/ 2007) - PBI"
"T180",36357.4778051375
"T280",43102.1102113785
"T380",42344.4829201749
"T480",45791.9290633091
"T181",39025.8745279371
"T281",45857.8860111518
"T381",45002.6901840332
"T481",47014.5492768779
"T182",40474.8475260678
"T282",46211.0883313454
"T382",43888.7979943972
"T482",45932.2661481896
"T183",36438.0890790934
"T283",41011.2236253978
"T383",39106.7855096812
"T483",41579.9017858276
"T184",35508.3647634429
"T284",41849.2517684865
"T384",41510.7544244159
"T484",44973.6290436547
"T185",39428.5093923646
"T285",43937.5301173146
"T385",40849.1466686055
"T485",43003.8138217154
"T186",38202.4057621612
"T286",46949.8431070714
"T386",47017.4761581319
"T486",50811.2749726354
"T187",44533.3944669149
"T287",51060.1370171844
"T387",51599.5308394703
"T487",53584.9376764304
"T188",43968.8479204462
"T288",49303.0158055399
"T388",46027.2197028106
"T488",42522.9165712032
"T189",35208.3219410992
"T289",39867.6024195586
"T389",40356.2967839717
"T489",44003.7788553706
"T190",40440.5082683705
"T290",40316.9356689953
"T390",33934.5106547256
"T490",36800.0454079087
"T191",36289.6566639196
"T291",40194.3657052173
"T391",39444.3286245648
"T491",38925.6490062983
"T192",38553.8855248773
"T292",39420.0979406049
"T392",36833.0709861326
"T492",39209.9455483852
"T193",38458.7714332253
"T293",41646.5671944963
"T393",40683.6662427562
"T493",41303.9951295221
"T194",43373.6878286463
"T294",46709.9077986682
"T394",45094.0410626266
"T494",46865.9782855018
"T195",47280.5256175322
"T295",50715.6240185364
"T395",48795.6012083922
"T495",48744.2724583609
"T196",47884.6614753849
"T296",51913.6142259634
"T396",50072.6270842197
"T496",51138.4037168592
"T197",50364.861887544
"T297",56186.4953364923
"T397",53279.5381924012
"T497",54197.3859397
"T198",51486.8828173097
"T298",54478.7523095302
"T398",53514.8270008328
"T498",53709.4485250983
"T199",51214.7021061642
"T299",55517.7829768011
"T399",53196.1046808371
"T499",56448.2183789266
"T100",54674.8359653656
"T200",58255.5100508144
"T300",54621.7374480091
"T400",54654.5889838863
"T101",51760.439166522
"T201",58431.0389285408
"T301",56119.6706209574
"T401",57268.3855449727
"T102",55137.7689733127
"T202",62307.2108103666
"T302",58404.3951886765
"T402",59923.6607836157
"T103",58249.270140964
"T203",65202.488111194
"T303",60551.6834730799
"T403",61589.1720277519
"T104",60913.815574515
"T204",67639.7128672909
"T304",63145.7528506701
"T404",66070.5049405968
"T105",64340.8894127658
"T205",71310.3676198867
"T305",67229.8261868521
"T405",71090.0706672864
"T106",69670.7640688162
"T206",75823.9354937986
"T306",72806.2690644193
"T406",76296.8621833945
"T107",73353.8223477219
"T207",80625.6306874366
"T307",80689.0812532602
"T407",85024.4647115814
"T108",80813.1005885844
"T208",89146.4428726647
"T308",88439.83844677
"T408",90523.6217676627
"T109",82894.9332648436
"T209",88427.1788757345
"T309",88282.9842511897
"T409",92978.92042587
"T110",87418.2070661184
"T210",96887.2615140414
"T310",96918.8232071649
"T410",101155.707814191
"T111",94996.2820663791
"T211",102176.041850792
"T311",102605.532138336
"T411",107274.127070036
"T112",100668.839988653
"T212",107960.878591478
"T312",109624.762971835
"T412",113018.504355215
"T113",105427.636256197
"T213",114690.341451033
"T313",115431.136654182
"T413",120899.603572544
"T114",110700.293485989
"T214",116901.523791878
"T314",117596.194427252
"T414",122234.792464305
"T115",112844.393388166
"T215",120689.018566578
"T315",121448.41478583
"T415",127907.758056284
"T116",117998.333484174
"T216",125347.959210807
"T316",127133.512420042
"T416",131861.503593631
"T117",120654.845360731
"T217",128634.238059551
"T317",130620.92578923
"T417",134816.463089459
"T118",124540.42374868
