,Volatilidad Relativa,Correlaciones cruzadas del PBI real con,,,,,,,,,,
Variables,,x(t-5),x(t-4),x(t-3),x(t-2),x(t-1),x(t),x(t+1),x(t+2),x(t+3),x(t+4),x(t+5)
Producto Bruto Interno, 1.00,-0.20,-0.07, 0.21, 0.57, 0.87, 1.00, 0.87, 0.57, 0.21,-0.07,-0.20
Consumo Privado, 0.96, 0.08, 0.20, 0.33, 0.48, 0.61, 0.70, 0.68, 0.56, 0.37, 0.16, 0.00
Inversion Privada, 4.18,-0.03, 0.02, 0.20, 0.46, 0.70, 0.84, 0.82, 0.67, 0.43, 0.20, 0.03
Consumo Público, 1.27, 0.12, 0.04,-0.01,-0.00, 0.02, 0.03,-0.00,-0.03,-0.02, 0.06, 0.20
Inversión Pública, 6.21,-0.25,-0.19,-0.05, 0.13, 0.27, 0.32, 0.29, 0.21, 0.16, 0.21, 0.35
Exportaciones, 1.98, 0.08, 0.17, 0.21, 0.21, 0.18, 0.13, 0.05,-0.03,-0.07,-0.07,-0.06
Importaciones, 3.96,-0.00, 0.03, 0.17, 0.40, 0.62, 0.76, 0.75, 0.59, 0.33, 0.06,-0.15
Exportaciones netas,1.01,0.07,0.07,-0.06,-0.28,-0.51,-0.67,-0.69,-0.56,-0.33,-0.08,0.12
